,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
0,Bioderma Atoderm Ultra Nourishing Cream 2 x 500ml,3401326306048,Bioderma,19.90,4.0, 505 ,Cream,2 x 500ml,In stock,"Bioderma Atoderm Ultra Nourishing Cream 2 x 500ml is a cream that repairs, soothes and protects the normal to dry sensitive skins.The Skin Protect complex associated to Glycerin allows to recreate a healthy cutaneous barrier and to deeply moisturize the skin. Inspired by the natural functioning of the skin, this care provides softness and suppleness from the first application.Its non oily and non sticky light texture leaves on the skin a sensation of comfort and freshness for a long duration.Paraben free. Fragrance free.Hypoallergenic. Tested under dermatological control.Made in France. "
1,Bioderma Atoderm Ultra-Moisturising Lipsticks 4g 2 + 1 Free,3401399371684,Bioderma,4.99,4.0, 396 ,Balm,3 sticks of 4g,In stock,Bioderma Atoderm Ultra-Moisturising Lipsticks 4g 2 + 1 Free is a care that soothes and protects the chapped and parched lips. It leaves the lips supple.Made in France. 
2,Bioderma Sébium Purifying Cleansing Foaming Gel 2 x 200ml,3401526010868,Bioderma,11.40,4.0, 144 ,Foaming gel,2 x 200ml,In stock,Bioderma Sébium Purifying Cleansing Foaming Gel 2 x 200ml is a foaming gel that gently cleanses and purifies combination and oily skin without drying out.It limits the secretion of sebum and cleanses the epidermis. Its ultra-gentle formula without soap respects the skin balance. The patented natural complex D.A.F.? increases the tolerance of the skin.This gel offers good skin and eye tolerance.Hypoallergenic. Non-comedogenic.Without paraben.Made in France. 
3,Eucerin UreaRepair PLUS 5% Urea Repairing Hand Cream 2 x 75ml,4005808706716,Eucerin,7.80,4.0, 116 ,Cream,2 tubes of 75 ml,In stock,"Eucerin UreaRepair PLUS 5% Urea Repairing Hand Cream 2 x 75ml is a daily care for the dry, very dry, damaged and irritated hands. It can be used in complement of treatments (ex: atopic dermatis atopic).It protects the most damaged hands against the climatic and chemical external attacks, through its protective film.It penetrates instantaneously thanks to its light texture.Fragrance-free."
4,Eucerin Complete Repair Emollient Lotion 10% Urea 2 x 400ml,4005900258106,Eucerin,25.80,4.0, 84 ,Milk,2 x 400ml,In stock,"Eucerin Complete Repair Emollient Lotion 10% Urea 2 x 400ml with Aquaporin Technology is a body lotion with a rich texture, suitable for very dry, squamous and irritated skins.- It limits the insensitive losses of water,- It reinforces the lipid barrier,- It restores the natural hydration synthesis of skin.This care effectively soothes the signs of dry skin.With no fragrance, and no colouring, it offers an excellent cutaneous tolerance, even on atopic skins, suffering from xerose or on diabetic skin. Skin is smooth and supple again. Dryness, roughness and itchiness are soothed."
5,Bioderma Créaline H2O Micellar Solution 2 x 500ml,3401525599067,Bioderma,17.99,4.0, 415 ,Solution,2 x 500ml,In stock,"Bioderma Créaline H2O Micellar Solution 2 x 500ml is a make-up removing micellar water specially formulated for the sensitive skins. It ensures a cleansing and make-up removing in gentleness from face and eyes (eliminates make-up resistant to water).Micelles contained in its formula allow an elimination of impurities while respecting the cutaneous balance (soap free, physiological pH). The soothing and decongesting actives prevent the sensations of irritation frequently linked to cleansing. The patented natural complex D.A.F (Dermatological Advanced Formulation) increases the tolerance level of the most sensitive skins. It also offers a good skin and ocular tolerance. Fragrance-free.Tested under dermatological and ophtalmological control.Made in France."
6,Avène Cleanance Gel Cleanser 400ml,3282770207774,Avène,10.90,5.0, 1 ,Gel,400ml,In stock,"Avène Cleanance Gel Cleanser 400ml is a gel with the formula respectful of sensitive skin that proposes a combination of active ingredients ensuring a triple benefit:cleansing: it cleans the skin thanks to its gentle cleansing base;matifying: thanks to the Comedoclastin , active vegetable derived from thistle seeds blends patented properties, the excess sebum is reduced;soothing: Avène thermal water restores all its soothing and anti-irritating properties.The skin is thus clean, fresh, purified and less shiny.Biodegradable formula.Very good skin tolerance. Non-comedogenic.Made in France. "
7,Bioderma Créaline Foaming Gel 200ml,3701129800041,Bioderma,9.99,5.0, 6 ,Gel,200ml,In stock,"Bioderma Créaline Foaming Gel 200ml gently cleanses, soothes and moisturizes sensitive skin.Thanks to its soothing and superfatting active ingredients, it quickly calms irritations. The DAF patented natural complex (dermatological advanced formulation) increases the tolerance threshold of the most sensitive skins. Its creamy foam leaves the skin soft and comfortable.Also used as make-up remover. Excellent cutaneous and ocular tolerance. Dermatologically and ophthalmologically tested.Without soap, perfume, paraben, hypoallergenic."
8,CeraVe Moisturising Cream 454g,3337875597388,CeraVe,12.30,4.0, 23 ,Balm,454g,In stock,"CeraVe Moisturising Cream 454g developed by dermatologists, is a moisturising cream that nourishes and moisturises dry to very dry skin (face and body) without altering the protective barrier of the skin.Ideal for dry to very dry skin, this formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier, and hyaluronic acid.Without perfume, non comedogenic. Hypoallergenic."
9,Eucerin Active Care Lips 1 + 1 Free,4005800041228,Eucerin,3.40,4.0, 48 ,Balm,2 sticks of 4.8g,In stock,"Eucerin Active Care Lips 1 + 1 Free is a protective and repairing active care.Fragrance free, dye free, preservative free.Hypoallergenic."
